ethanol__heptane,1664,,,,,,,,,,,,,
2-propanol__water,1278,,,,,,,,,,,,,
methanol__water,1117,,,,Water,Heptane,Octane,Decane,Methanol,Ethanol,1-propanol,1-butanol,Benzene,Toluene
"1,4-dimethylbenzene__pentylcarbinol",55,,,,,,,,,,,,,
"1,3-dimethylbenzene__cyclooctane",54,,,,,,,,,,,,,
"pentyl alcohol__1,2-dimethoxyethane",54,,,,,,,,,,,,,
"1,3,5-trioxane__water",53,,,,,,,,,,,,,
"1,3-dimethylbenzene__cyclopentane",52,,,,,,,,,,,,,
"1,3,5-trimethylbenzene__cyclopentane",52,,,,,,,,,,,,,
"1,3,5-trimethylbenzene__cyclooctane",52,,,,,,,,,,,,,
"1,3,5-trimethylbenzene__cyclohexane",52,,,,,,,,,,,,,
"1,2-dimethylbenzene__cyclooctane",52,,,,,,,,,,,,,
"1,3-dimethylbenzene__methylcyclohexane",52,,,,,,,,,,,,,
"1,2-dimethylbenzene__cyclopentane",52,,,,,,,,,,,,,
"1,3-dimethylbenzene__cyclohexane",52,,,,,,,,,,,,,
"1,2-dimethylbenzene__cyclohexane",52,,,,,,,,,,,,,
"1,4-dimethylbenzene__cyclopentane",52,,,,,,,,,,,,,
"1,4-dimethylbenzene__cyclooctane",52,,,,,,,,,,,,,
"1,2-dimethylbenzene__methylcyclohexane",52,,,,,,,,,,,,,
1-pentanol__cyclohexane,51,,,,,,,,,,,,,
"hexane__ethanol, 2-ethoxy-",51,,,,,,,,,,,,,
"1,2-ethanediol__1-hexanol",50,,,,,,,,,,,,,
"1,2-ethanediol__1-octanol",50,,,,,,,,,,,,,
methylcyclohexane__1-heptanol,48,,,,,,,,,,,,,
bis(2-hydroxyethyl) ether__pentan-2-ol,48,,,,,,,,,,,,,
butan-2-ol__bis(2-hydroxyethyl) ether,48,,,,,,,,,,,,,
bis(2-hydroxyethyl) ether__butylmethylcarbinol,48,,,,,,,,,,,,,
2-hydroxymethylfuran__water,48,,,,,,,,,,,,,
"benzene__butane, 2-methoxy-2-methyl-",48,,,,,,,,,,,,,
"2,2,4-trimethylpentane__butane, 2-methoxy-2-methyl-",48,,,,,,,,,,,,,
hexane__cyclohexane,48,,,,,,,,,,,,,
bis(2-hydroxyethyl) ether__amylmethylcarbinol,48,,,,,,,,,,,,,
ethanol__paraldehyde,48,,,,,,,,,,,,,
sec-propyl alcohol__bis(2-hydroxyethyl) ether,48,,,,,,,,,,,,,
1-propanol__tetrahydrofuran,47,,,,,,,,,,,,,
p-dioxane__water,46,,,,,,,,,,,,,
propane__n-decane,46,,,,,,,,,,,,,
